"","from","to","correlation"
"1",1,2,0.795478244263149
"2",2,1,0.795478244263149
"3",3,4,0.768001582458128
"4",4,3,0.768001582458128
"5",5,6,0.754806901155077
"6",6,5,0.754806901155077
"7",7,3,0.753927438561929
"8",3,7,0.753927438561929
"9",2,8,0.748561839520428
"10",8,2,0.748561839520428
"11",9,10,0.742424242424242
"12",10,9,0.742424242424242
"13",11,12,0.738622210986625
"14",12,11,0.738622210986625
"15",2,13,0.738423539291827
"16",13,2,0.738423539291827
"17",14,3,0.73719806763285
"18",3,14,0.73719806763285
"19",6,14,0.733144290461663
"20",14,6,0.733144290461663
"21",2,15,0.71832480319635
"22",15,2,0.71832480319635
"23",16,17,0.713308502989364
"24",17,16,0.713308502989364
"25",15,18,0.711559466284308
"26",19,2,0.709575414606869
"27",2,19,0.709575414606869
"28",17,3,0.707831011015465
"29",17,20,0.707831011015465
"30",3,17,0.707831011015465
"31",20,17,0.707831011015465
"32",1,21,0.707816688335133
"33",21,1,0.707816688335133
"34",19,15,0.707359307359307
"35",15,19,0.707359307359307
"36",22,17,0.707257133470022
"37",17,22,0.707257133470022
"38",23,15,0.705627705627706
"39",15,23,0.705627705627706
"40",7,11,0.704876477220024
"41",11,7,0.704876477220024
"42",24,7,0.700359380345845
"43",7,24,0.700359380345845
"44",25,13,0.694401480116813
"45",13,25,0.694401480116813
"46",6,4,0.694401480116813
"47",4,6,0.694401480116813
"48",12,21,0.69282924922653
"49",12,26,0.69282924922653
"50",21,12,0.69282924922653
"51",26,12,0.69282924922653
"52",27,10,0.689426313666159
"53",10,27,0.689426313666159
"54",6,27,0.683018610982205
"55",27,6,0.683018610982205
"56",16,3,0.679743007405954
"57",16,14,0.679743007405954
"58",3,16,0.679743007405954
"59",14,16,0.679743007405954
"60",1,15,0.679671142504125
"61",1,23,0.679671142504125
"62",1,12,0.679671142504125
"63",15,1,0.679671142504125
"64",23,1,0.679671142504125
"65",12,1,0.679671142504125
"66",17,10,0.678030303030303
"67",10,17,0.678030303030303
"68",11,2,0.676331723095981
"69",2,11,0.676331723095981
"70",20,12,0.67407205170877
"71",12,20,0.67407205170877
"72",21,18,0.674066336003488
"73",28,21,0.674066336003488
"74",28,26,0.674066336003488
"75",21,28,0.674066336003488
"76",26,28,0.674066336003488
"77",11,3,0.674033372804582
"78",3,11,0.674033372804582
"79",4,10,0.673266528872828
"80",10,4,0.673266528872828
"81",17,4,0.673266528872828
"82",4,17,0.673266528872828
"83",25,26,0.669584006194786
"84",26,25,0.669584006194786
"85",2,26,0.668155467829419
"86",26,2,0.668155467829419
"87",6,3,0.665865192281646
"88",6,20,0.665865192281646
"89",3,6,0.665865192281646
"90",20,6,0.665865192281646
"91",29,30,0.665018667006588
"92",30,29,0.665018667006588
"93",7,30,0.664582495172274
"94",30,7,0.664582495172274
"95",7,31,0.660315498809302
"96",31,7,0.660315498809302
"97",22,1,0.65969490555942
"98",1,22,0.65969490555942
"99",12,2,0.658828960787882
"100",2,12,0.658828960787882
"101",27,4,0.658523578331498
"102",4,27,0.658523578331498
"103",25,32,0.6572009708785
"104",32,25,0.6572009708785
"105",19,10,0.655564782695531
"106",10,19,0.655564782695531
"107",17,19,0.655564782695531
"108",19,17,0.655564782695531
"109",7,15,0.65531997411086
"110",7,12,0.65531997411086
"111",15,7,0.65531997411086
"112",12,7,0.65531997411086
"113",33,34,0.654330305081576
"114",34,33,0.654330305081576
"115",12,18,0.652480047838236
"116",1,4,0.652012862562434
"117",11,4,0.652012862562434
"118",4,1,0.652012862562434
"119",4,11,0.652012862562434
"120",4,12,0.649315639937101
"121",12,4,0.649315639937101
"122",19,12,0.648484848484848
"123",12,19,0.648484848484848
"124",11,21,0.647951595291863
"125",11,26,0.647951595291863
"126",21,11,0.647951595291863
"127",26,11,0.647951595291863
"128",19,18,0.647267157975348
"129",19,28,0.647267157975348
"130",28,19,0.647267157975348
"131",25,2,0.646443874965408
"132",2,25,0.646443874965408
"133",22,2,0.646416348721181
"134",2,22,0.646416348721181
"135",16,4,0.646197700371802
"136",4,16,0.646197700371802
"137",22,10,0.645280992908215
"138",10,22,0.645280992908215
"139",7,1,0.644660898764042
"140",1,7,0.644660898764042
"141",3,10,0.642787080273503
"142",10,3,0.642787080273503
"143",33,17,0.639602149066831
"144",17,33,0.639602149066831
"145",7,2,0.63900010408431
"146",2,7,0.63900010408431
"147",16,21,0.637947289504428
"148",21,16,0.637947289504428
"149",12,10,0.637455258311677
"150",10,12,0.637455258311677
"151",26,21,0.635714285714286
"152",21,26,0.635714285714286
"153",27,3,0.635338601787141
"154",27,14,0.635338601787141
"155",27,35,0.635338601787141
"156",3,27,0.635338601787141
"157",14,27,0.635338601787141
"158",35,27,0.635338601787141
"159",20,4,0.635115812465373
"160",14,4,0.635115812465373
"161",29,4,0.635115812465373
"162",4,20,0.635115812465373
"163",4,14,0.635115812465373
"164",4,29,0.635115812465373
"165",32,36,0.634715068871609
"166",36,32,0.634715068871609
"167",17,11,0.634658120671815
"168",11,17,0.634658120671815
"169",37,15,0.633041953607997
"170",37,23,0.633041953607997
"171",15,37,0.633041953607997
"172",23,37,0.633041953607997
"173",4,28,0.633012679872185
"174",28,4,0.633012679872185
"175",19,20,0.631999711982035
"176",20,19,0.631999711982035
"177",5,14,0.629333730136111
"178",14,5,0.629333730136111
"179",16,7,0.627931874575915
"180",7,16,0.627931874575915
"181",27,38,0.627447198003608
"182",38,27,0.627447198003608
"183",29,7,0.626871513351988
"184",7,29,0.626871513351988
"185",22,19,0.625721426120482
"186",19,22,0.625721426120482
"187",19,25,0.624706846251972
"188",25,19,0.624706846251972
"189",19,21,0.622491254381197
"190",37,39,0.622491254381197
"191",19,26,0.622491254381197
"192",39,37,0.622491254381197
"193",21,19,0.622491254381197
"194",26,19,0.622491254381197
"195",7,26,0.617882103619627
"196",7,37,0.617882103619627
"197",26,7,0.617882103619627
"198",37,7,0.617882103619627
"199",2,31,0.617278988143214
"200",31,2,0.617278988143214
"201",19,1,0.617252364110889
"202",1,19,0.617252364110889
"203",33,4,0.617060907344534
"204",4,33,0.617060907344534
"205",16,29,0.61527644603412
"206",29,16,0.61527644603412
"207",10,18,0.614232833749685
"208",17,18,0.614232833749685
"209",26,18,0.614070902956057
"210",27,17,0.613320811508206
"211",17,27,0.613320811508206
"212",16,6,0.612585271513091
"213",6,16,0.612585271513091
"214",16,22,0.612453380435486
"215",22,16,0.612453380435486
"216",35,15,0.611878158199684
"217",35,23,0.611878158199684
"218",3,12,0.611878158199684
"219",12,3,0.611878158199684
"220",15,35,0.611878158199684
"221",23,35,0.611878158199684
"222",6,28,0.611843996849471
"223",28,6,0.611843996849471
"224",1,3,0.611758550317202
"225",1,20,0.611758550317202
"226",3,1,0.611758550317202
"227",20,1,0.611758550317202
"228",30,1,0.609215358616806
"229",1,30,0.609215358616806
"230",22,34,0.608144847832668
"231",34,22,0.608144847832668
"232",2,21,0.607737154249099
"233",21,2,0.607737154249099
"234",7,39,0.607563862637194
"235",39,7,0.607563862637194
"236",1,13,0.607557440114996
"237",11,13,0.607557440114996
"238",13,1,0.607557440114996
"239",13,11,0.607557440114996
"240",17,40,0.60597500852404
"241",40,17,0.60597500852404
"242",20,3,0.605797101449275
"243",29,3,0.605797101449275
"244",3,20,0.605797101449275
"245",14,20,0.605797101449275
"246",20,14,0.605797101449275
"247",3,29,0.605797101449275
"248",25,21,0.604908278323699
"249",21,25,0.604908278323699
"250",24,39,0.604646729618613
"251",39,24,0.604646729618613
"252",34,10,0.60314830579873
"253",41,10,0.60314830579873
"254",10,34,0.60314830579873
"255",17,34,0.60314830579873
"256",10,41,0.60314830579873
"257",42,41,0.60314830579873
"258",41,42,0.60314830579873
"259",34,17,0.60314830579873
"260",7,43,0.603116800077549
"261",7,44,0.603116800077549
"262",43,7,0.603116800077549
"263",44,7,0.603116800077549
"264",28,25,0.602445471552245
"265",25,28,0.602445471552245
"266",16,12,0.602181343017354
"267",12,16,0.602181343017354
"268",30,3,0.601860469581381
"269",3,30,0.601860469581381
"270",27,34,0.601311519761401
"271",34,27,0.601311519761401
"272",22,11,0.60035726855143
"273",11,22,0.60035726855143
"274",23,2,0.599333118379415
"275",2,23,0.599333118379415
"276",6,29,0.598586094101628
"277",29,6,0.598586094101628
"278",3,26,0.598145281497545
"279",35,37,0.598145281497545
"280",26,3,0.598145281497545
"281",37,35,0.598145281497545
"282",31,26,0.596792841317161
"283",26,31,0.596792841317161
"284",16,1,0.596674678392359
"285",16,11,0.596674678392359
"286",1,16,0.596674678392359
"287",11,16,0.596674678392359
"288",4,2,0.596347111478716
"289",2,4,0.596347111478716
"290",7,17,0.595634847067424
"291",17,7,0.595634847067424
"292",7,4,0.595218584559483
"293",4,7,0.595218584559483
"294",38,15,0.595182648551429
"295",38,23,0.595182648551429
"296",7,23,0.595182648551429
"297",15,38,0.595182648551429
"298",23,38,0.595182648551429
"299",23,7,0.595182648551429
"300",9,19,0.593992399790426
"301",19,9,0.593992399790426
"302",24,29,0.593913967992965
"303",29,24,0.593913967992965
"304",28,12,0.593400629392164
"305",12,28,0.593400629392164
"306",26,45,0.592550480067793
"307",45,26,0.592550480067793
"308",33,20,0.592220092263982
"309",20,33,0.592220092263982
"310",24,43,0.592111084561164
"311",43,24,0.592111084561164
"312",39,15,0.58961038961039
"313",15,39,0.58961038961039
"314",23,39,0.58961038961039
"315",39,23,0.58961038961039
"316",19,23,0.58961038961039
"317",23,19,0.58961038961039
"318",1,26,0.588086502248593
"319",11,37,0.588086502248593
"320",26,1,0.588086502248593
"321",37,11,0.588086502248593
"322",12,15,0.587878787878788
"323",12,23,0.587878787878788
"324",15,12,0.587878787878788
"325",23,12,0.587878787878788
"326",19,39,0.587878787878788
"327",39,19,0.587878787878788
"328",11,1,0.586805555555555
"329",1,11,0.586805555555555
"330",16,10,0.585663823507057
"331",10,16,0.585663823507057
"332",25,15,0.585369983369539
"333",25,12,0.585369983369539
"334",15,25,0.585369983369539
"335",12,25,0.585369983369539
"336",2,18,0.583859880281442
"337",28,2,0.583859880281442
"338",2,28,0.583859880281442
"339",16,5,0.583677809524183
"340",5,16,0.583677809524183
"341",19,34,0.582604987473135
"342",34,19,0.582604987473135
"343",44,4,0.582590341808057
"344",4,44,0.582590341808057
"345",19,31,0.582338410919553
"346",31,19,0.582338410919553
"347",30,43,0.581677923209405
"348",43,30,0.581677923209405
"349",1,25,0.581442634783194
"350",25,1,0.581442634783194
"351",16,34,0.579494567263898
"352",16,44,0.579494567263898
"353",34,16,0.579494567263898
"354",44,16,0.579494567263898
"355",4,21,0.578604017178979
"356",21,4,0.578604017178979
"357",20,10,0.577743149531541
"358",14,10,0.577743149531541
"359",35,10,0.577743149531541
"360",10,20,0.577743149531541
"361",9,20,0.577743149531541
"362",10,14,0.577743149531541
"363",17,14,0.577743149531541
